FOOD COMMODITY GROUP;Food commodity ITEM;Water Footprint liters water/kg o liter of food ITEM;Uncertainty    low  (L)  high (H);Suggested WF value;Food commodity TYPOLOGY;Water Footprint cc water/g o cc of food TYPOLOGY;Food commodity sub-TYPOLOGY;Water Footprint cc water/g o cc of food sub-TYPOLOGY;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;SOY BURGER;1053;L;ok item;VEGETAL PROTEINS;1724;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;SOY MILK*;2030;L;item matching typology;VEGETAL MILK* (soy milk);2030;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;SOY PASTE;572;L;ok item;DRESSING;572;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;SOY SAUCE;613;L;ok item;DRESSING;572;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;SOYBEAN FLOUR;2523;L;ok item;LEGUME FLOUR;2523;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;SOYBEAN OIL;4190;L;ok item;OIL;6792;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;SPINACH (F);834;L;ok item;VEGETABLES FROZEN;750;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;SUNFLOWER OIL;6792;L;ok item;OIL;6792;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;SWEET CORN (F);700;L;ok item;VEGETABLES FROZEN;750;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;TAPIOCA OF CASSAVA;2818;L;ok item;STARCHY TUBER;1523;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;TAPIOCA OF POTATOES;1436;L;ok item;STARCHY TUBER;1523;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;TOFU;1724,5;H;better typology;VEGETAL PROTEINS;1724;-;-;;;;;;;;;;;;;;;;;
AGRICULTURAL PROCESSED;TOMATO & BASIL;147;L;ok item;TOMATO SAUCE;151;-;-;;;;;;;;;;;;;;;;;
